NAMES,MEANING,GENDER
aasaithambi,Power of Self Respect,Boy
aasamana,Power of Self Respect,Boy
aasha,Hope; Desire; Wish; Hopeful; Wishful thinking,Girl
aashadhar,One who Keeps Hope; Full filler of wishes,Boy
aashank,Faith; trust; belief,Boy
aashay,Summary; Gist; powerful; meaningful; influence; potent,Boy
aashi,Smile; Laughter; Cheerful; Delighted and Happy;,Girl
aashish,blessing; bestowment of God; Mercy of God,Boy
aashka,Mercy of God; Blessings; bestowment of God,Boy
aashlesh,To Embrace ; acceptance,Boy
aashman,Son of the sun;,Boy
aashna,Beloved; Devoted to love; Someone who treasures love; Dearmost; Close to heart; One who fulfills wishes,Girl
aashrita,One who has taken refuge in the Lord; One who seeks shelter in abode of God; One of many names of Goddess Laxmi,Girl
aashrith,Ruler; One of the many names of Lord Vinayaka,Boy
aashutosh,One who is easily pleased; One who Full fills Wishes Instantly,Boy
aashvi,One of many names of Goddess Saraswati,Girl
aasif,An Able Minister,Boy
aasit,Black Stone,Boy
aasra,Sahara; Help; Anchor; To serve,Boy
aastha,Faith; Belief; Trust; Hope; Wish; Devotion; Loyalty,Girl
aastik,One who has faith in god; Believer in God,Boy
aasvi,Little Mare,Boy
aatherya,A Disciple of Sage Vamadeva,Boy
aathiswaran,The Fire ; Refers to the God of origin; Lord Shiva,Boy
aathmika,Someone who is related to aathma or soul; One who is very soulful and close to inner heart,Girl
aathrav,"Auspicious, Lucky, It is also one of Lord Ganesha's Name",Boy
aatma,"Soul, Light Of The Lord; A deeply felt Emotion",Boy
aatmadeva,God of the Soul; A variant name from Aatma,Boy
aatmaj,"Son, Beloved to soul; A variant name of Aatma",Boy
aatmik,Spirit; Soul; A variant name of Aatma,Boy
aatrey,An ancient Name,Boy
aatreya,name of a sage ; A derivative from Aatrey,Boy
aaush,Long Life; A variant name of Aayush,Boy
aaushi,"One who is careful, knowledgeable and blessed with a long Life",Girl
aavansh,Forthcoming Generation,Boy
aayakar,"Someone willing to comply to commands,obedient",Boy
aayam,Dimensions; extension in time,Boy
aayansh,Sun; like splendour or brightness of sun,Boy
aayoush,Handsome; Good Looking,Boy
aayu,Lifespan; Long Life; A variant of Aaush,Boy
aayush,Long Life; Blessing; A variant name of aaush,Boy
aayushi,One who is blessed with a long life; Blessed with healthy and happy life for long years,Girl
aayushmaan,Blessed with long life; A variant name of Aaush,Boy
aayushman,Blessed with Long Life; A variant name of Aaush,Boy
abadhya,Always Victorious; Unopposed;,Boy
abalendu,Not the Nascent Moon; The Full Moon in Sanskrit,Boy
abanindra,Sky ; Another variant is Abanindranath,Boy
abanindranath,A variant of name Abanindra which means sky; A famous Bengali painter had this name,Boy
abatus,The winner of a battle,Boy
abayomi,Born to bring me joy; pleasant meeting,Boy
abba,Father; Somber; Preist,Boy
abbas,Description of a Lion; Looking Austere; Lion; Stern; Name of Mohammad's Uncle,Boy
abdhisayana,Sleeping on the Ocean,Boy
abeesht,Wanted; Desired; To wish; Crave,Boy
aberassithan,Unbeatable; God; the supreme being,Boy
abha,Shining; Luster; Glorious; Beauty; Glow,Boy
abhaidev,Free of Fear; Protecting God,Boy
abhaijeet,Victory over Fear; Brave; Fearless,Boy
abhairaaj,One who rules the kingdom boldly.,Boy
abhang,One who is excellent in speaking.,Boy
abhanja,One who is an excellent speaker,Boy
abharan,Jewel; Precious,Boy
abharika,Refers to disorderly haste.,Girl
abhas,Feeling; Empathise with; Compassionate,Boy
abhasa,Splendour; Grandeur; Great Brightness,Boy
abhash,Awareness or recognition.,Boy
abhasvara,Shining One; Bright and Glossy,Boy
abhat,Shining; Visible; Splendid; Glorious,Boy
abhata,Shining; Blazing; Splendid; Glorious,Boy
abhati,Splendid or superlative.,Girl
abhav,Lord Shiva; Having the ability to be different,Boy
abhavasimha,The one who is brave and bold as a lion.,Boy
abhay,Born son of Dharma or who is not afraid to anyone or anything.,Boy
abhaya,The one without scare.,Unisex
abhayad,Safety; Keeping safe,Boy
abhayan,A person who is valiant.,Boy
abhayananda,Delighting in Fearlessness; Brave; Courage,Boy
abhayankar,He who Gives Courage; Strength,Boy
abhayankara,The one who gives shelter.,Boy
abhayankari,One who gives bold and brave.,Girl
abhayaprada,Bestower of Safety; instiller of courage,Boy
abhayasimha,One who is daring like a lion.,Boy
abhayasinha,The one who is strong as a lion.,Boy
abhayda,Fearless and brave; courageous,Boy
abhaysimha,As Fearless as a Lion; Symbol of Courage and brave,Boy
abheek,Fearless; Brave; Courageous,Boy
abheenav,New; Fresh; strange or unaccustomed,Boy
abheenu,An individual who is famous and reliant,Boy
abheer,A Cow-herd,Boy
abheera,A hired hand who tends cattle.,Girl
abheeran,A Cow Herd ; A variant name of Abheer,Boy
abheerup,The Most Handsome and Wisest; utmost attractive looking,Boy
abheeshek,Consecrating or to Crown,Boy
abheesht,Desired; Wished; Wanted; Craved,Boy
abheeshtha,Ones Desire; Wishes; Wants; Cravings,Boy
abheest,Wanted; Desired; Wished; Craved,Boy
abheet,Gallant and audacious.,Boy
abhejay,The one who brings victory.,Boy
abhey,Fearless; Brave; Courageous,Boy
abhi,Fearless; Brave; Courageous,Boy
abhibhava,Overpowering; Powerful; Victorious; Influential; Mighty; Potent,Boy
abhibhu,To Overcome; Conquer; To gain a victory; master,Boy
abhicandra,Having a Moon Like Face; Beautiful like a moon,Boy
abhichandra,Having a Moon Like Face; Beautiful like a moon,Boy
abhideep,Illuminated; Radiant; Glorious,Boy
abhidha,Name; Word; Sound; Literal Meaning,Boy
abhidhar,Who Wears Serpents,Boy
abhidharm,Highest Dharma,Boy
abhidhya,"WIsh, longing",Girl
abhidi,Radiant; Expression; distinctive and illuminating,Boy
abhidyu,Heavenly; Bright; Radiant; Illuminous,Boy
abhigam,Perception; Considerable,Boy
abhigeet,Praised in Song,Boy
abhigeetha,To be worshipped.,Girl
abhigyaan,Source of Knowledge; Wisdom,Boy
abhigyan,Most Intelligent; Recollection; Wisdom; Knowledgeable,Boy
abhihava,Most Intelligent; Recollection; Wisdom; Knowledgeable,Boy
abhihita,Expression; Word; Name; meaning,Boy
abhijaat,Well Born; Wise and knowledgeable,Boy
abhijana,Refers to a good class and decent birth.,Girl
abhijat,Noble; Wise; Knowledgeable; Intelligent; Bright,Boy
abhijay,Victor; triumph; successful; Winner,Boy
abhijaya,Conquest; Complete Victory; triumph; successful,Boy
abhijeet,Variation,Boy
abhiji,The person who is victorious; Lord Krishna,Boy
abhijiat,Noble and wise; knowledgeable,Boy
abhijin,The Most Auspicious Moment,Boy
abhijit,One who is Victorious; triumph; successful,Boy
abhijith,One who is Victorious; A variant of Abhijit; triumph; successful,Boy
abhijun,Expert; Skilled; To help; experienced,Boy
abhijvala,Blazing Forth,Boy
abhik,Beloved; Dearest to Heart; Most Loved,Boy
abhikama,Fondness or wish.,Boy
abhikanksha,The one who is willing to perform an action.,Girl
abhikhya,"Pretty, glitter and charming.",Girl
abhilasa,"Desire, wish",Girl
abhilash,Desire; Wish; Crave; Longing; Want,Boy
abhilasha,"Ambition, desire",Girl
abhilashita,Wanted or longed.,Girl
abhilesh,Immortal; Unique; one who has no equivalent,Boy
abhima,"The one who destroys the fear , Lord Vishnu.",Boy
abhimaan,Pride; majestic; magnificent,Boy
abhimakar,One who has or Gives Warmth,Boy
abhiman,Pride; majestic; magnificent,Boy
abhimand,Gladdening; happiness; joyful,Boy
abhimanee,"Full of pride, A variant of Abhimaan",Boy
abhimani,Full of Pride; Another Name for Agni who is the eldest son of Lord Brahma,Girl
abhimanuya,The Son of Arjun in Mahabharat; Pride,Boy
abhimanya,The Son of Arjun in Mahabharat; Pride,Boy
abhimanyu,Arjuna's Son; Pride,Boy
abhimanyusuta,Son of Abhimanyu; Pride,Boy
abhimoda,Joy; Delight; happiness; glad,Boy
abhin,Different,Boy
abhinabhas,Famous; renowned,Boy
abhinand,Celebrating; reason of joy; blessing,Boy
abhinanda,To Rejoice; To Celebrate; To Praise; To Bless; Delighted,Boy
abhinandan,Greetings; Felicitous; Welcoming; Cordial; Accept with Pleasure,Boy
abhinandana,"Felicitous, delighting, welcoming",Boy
abhinash,Actor; talented enactor,Boy
abhinatha,Lord of Desires; Another Name for Kama; God of wishes,Boy
abhinav,Brand new,Boy
abhinava,New; Young; Fresh; Modern; A Sakta Notable for his great learning,Boy
abhinay,Expression; Feelings; Representation,Boy
abhindra,Devender,Boy
abhineet,Perfect ; Absolute; Thorough; Complete,Boy
abhineeth,Forgiving; To pardon; merciful to forgive,Boy
abhinit,Acted; Actor,Boy
abhinithi,"That which is already been performed, friendship",Girl
abhinivesh,Desire; Love; affectionate,Boy
abhinu,Brave Man; Fearless; Courageous,Boy
abhipal,Protector; Defender; Guardian,Boy
abhiprithi,Full of love,Girl
abhipsa,Means Strong Desire; Wishes; Longing,Boy
abhir,Mighty One,Boy
abhiraam,Pleasing; Loving; Highly satisfying,Boy
abhiraj,Fearless King; Courageous Ruler; Brave King,Boy
abhiram,Lovely; Pleasing ; Highly Satisfying,Boy
abhiramana,One who Delights,Boy
abhirath,Great Charioteer; Handsome,Boy
abhiratha,"Handsome, It also means Great Charioteer; A variant of Abhirath",Boy
abhirathi,Pleasure,Girl
abhiratra,Small; Humble; Softness,Boy
abhiri,A raagini of indian music,Girl
abhiroop,Handsome; Pleasant; Appealing; Refined,Boy
abhiru,Not a Coward; Strong; Powerful; Fearless; Brave,Boy
abhiruc,The Sun,Boy
abhiruci,Good Interest; Variant of Abhirucia which means extremely beautiful in Sanskrit,Boy
abhirup,Pleasing; Loving; Highly satisfying,Boy
abhisar,Companion; Friend; Well wisher,Boy
abhisara,To Spread Brightness ; Radiant; Luminous,Boy
abhishek,An auspicious bath for a deity,Boy
abhisheka,Installed as King,Boy
abhishesha,Desirous,Boy
abhishikth,"means King, One who is energetic, adventurous, daring and freedom-loving",Boy
abhishrey,The Credit of Good Deed; The Dawn of the Good,Boy
abhisoka,Passionate; Loving; Affectionate; desirable,Boy
abhisri,"Surrounded by glory, shining, powerful",Girl
abhisu,Ray of Light,Boy
abhisumant,Radiant; bright; Luminous; Another Name of Sun,Boy
abhisumat,Radiant; bright; Luminous; Another Name of Sun,Boy
abhisyanta,Splendid; A Son of Kuru and Vahini; Brilliant in appearance,Boy
abhit,Fearless; Brave; Courageous,Boy
abhithi,Fearlessness,Girl
abhivaadan,Greeting; Welcoming; Salutation,Boy
abhivachan,Good Word; Pleasant words,Boy
abhivadak,One who Salutes with Respect; Kind and Warmly welcoming person,Boy
abhivadan,Greeting; Welcoming; Salutation,Boy
abhivandan,Salutation; A derivative name from Abhivadan which means Greetings,Boy
abhivandya,One who is Treated Respectfully; A variant of Abhivandan,Boy
abhivanth,Royal Salute; One who is given royal respect,Boy
abhiveer,One who Commands; One who is Surrounded by Heroes or warriors,Boy
abhivira,Surrounded by Heroes; A Commander; Respectful warrior,Boy
abhiyanta,An Engineer,Boy
abhnivesh,Long Cherished Desire; Idea; Resolution,Boy
abhra,Cloud; Bearing Water; Sky,Boy
abhrakasin,With Clouds for Shelter; An Ascetic,Boy
abhram,Steady; Clear; tidy up; one who will not be indebted,Boy
abhyagni,Towards the Fire; A Son of Aitasa,Boy
abhyas,Study; Deepfull Thought; Zealous Endeavour,Boy
abhyuday,Progress; development; one who goes forward,Boy
abhyudaya,Rising; Sunrise; Elevation; Increase; Prosperity,Boy
abhyudita,Elevated; Prospered; Raised; established,Boy
abid,Worshipper or devout of the Lord,Boy
abij,Seedless,Boy
abilash,"Powerful and Complete, Desire; Name of Goddess Lakshmi",Boy
abimanyu,Arjuna's son,Boy
abimbola,Born Wealthy,Boy
abinaash,Eternal; Immortal; A person of enduring Fame,Boy
abinash,Indestructible; one who can never be destroyed,Boy
abinaswar,One who Never Destroys; protector,Boy
abinay,One of many names of Lord Shiva,Boy
abinaya,The Royal Guard; God; Supreme Being,Boy
abinesh,Eternal; Immortal; A person of enduring Fame,Boy
abinish,Hope; symbol of faith,Boy
abishek,Ritual; Ceremony,Boy
abishta,Lady of the house,Girl
abishua,Father of Salvation,Boy
abivanth,Royal Salute,Boy
abizer,Father of Wealth; richness,Boy
abjayoni,Born of the Lotus; Another Name for Brahma,Boy
abjit,Conquering Water,Boy
abnash,That Cannot Be Destroyed,Boy
aboil,The name of a flower,Girl
abrik,Precious Like Gold,Boy
abujurayj,"A successful, kind and is endless",Boy
abzar,Powerful; Mighty; having great power and authority,Boy
acalapati,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
acalendra,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
acalesvara,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
acananas,"Understanding, expressive and humble being",Boy
acanda,Not of the Hot Temper; Without Anger; Gentle; to ennoble; Kind; amiable,Boy
acarya,Guru; Teacher; Another Name for Drona; Learned and skilled to train,Boy
acaryanandana,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
acaryasuta,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
acaryatanaya,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
acchindra,Flawless; Uninterrupted; Perfect; Absolute; Thorough,Boy
acchoda,Limpid Water; With Clear Water; Refers to a river,Boy
acchundra,Name of a passionate and kind king,Boy
acchutan,One of many names of Lord Vishnu;,Boy
achal,Constant; Steady; means firm and constant like a mountain,Boy
achala,"Earth, steady, mountain",Girl
achalendra,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
achalesvara,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
achalraj,Himalayan Mountain; King of Himalayas; Lord of Mountains; Name form of Lord Shiva,Boy
acharya,Teacher; Another Name for Drona; A variant name of Acarya,Boy
acharyanandana,One who is considered the son of the Teacher; A derivative from Acharya,Boy
acharyasuta,One who is considered the son of the Teacher; A derivative from Acharya,Boy
acharyatanya,One who is considered the son of the Teacher; A derivative from Acharya,Boy
achindra,Flawless; Uninterrupted; Perfect; Without Faults; Absolute; Thorough,Boy
achinta,one of many names of Lord Shiva; Vishnu,Boy
achintakumar,One of many names of Lord Shiva,Boy
achintya,Release of Tensions; Inconceivable; Beyond Comprehension; Healer of all worries;,Boy
achir,New; Fresh; strange or unaccustomed,Boy
achit,Separation; Constant,Girl
achlapati,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
achu,"A justice loving, brave and wonderful person",Girl
achudan,Lord Krishna; one of many names of Lord Vishnu,Boy
achyut,Imperishable; one of many names of Lord Vishnu,Boy
achyuta,Indestructible; one who can never be destroyed; one of many names of Lord Vishnu,Boy
achyutanand,Imperishable Joy; The Almighty; Omnipotent; God,Boy
achyutaraya,Worshipper of the Infallible; A Devotee of Vishnu,Boy
achyuth,Lord Krishna; Imperishable; Indestructible; one of many names of Lord Vishnu,Boy
achyuthan,Indestructible; one who can never be destroyed; one of many names of Lord Vishnu,Boy
acintya,Surpassing Thought; Incogitable,Boy
acyuta,Unending; Never Lapsing; Eternal; without beginning or end,Boy
acyutananda,Insatiable Bliss; One who Never Falls,Boy
acyutaraya,Worshipper of the Infallible,Boy
adag,Pure; UnBlemished; Sacred,Girl
adaikalam,Refuge; Provider of Shelter; protection; rescue and aid,Boy
adalarasu,King of Dance; one of many names of Lord Shiva,Boy
adalvallan,"Best Dancer, Tamil Name of Lord Shiva in Nataraja form",Boy
adambara,The sound of the roaring of an elephant,Boy
adamya,Formidable; Brave; United; Difficult; Stern,Boy
adarko,Tamil name of Lord Shiva,Boy
adarsh,Ideal,Boy
adarshpal,Keeper of Ideals; Well mannered and Principled man,Boy
adavak,Simple; Uncomplicated; free of deceit; Unpretentious,Boy
adavan,Sun ; Tamil name that refers to radiant and bright sun,Boy
adavya,Generous and Happy; Charming and Joyful person,Boy
adeela,Equal; impartial; uniform,Boy
adeep,Light; Lamp; Luminous,Boy
adel,Righteous; Upright; Sincere; Justice; Noble; Equal; Alike,Boy
adelik,Successful; Full of Concentration; achieving honors and wealth,Boy
adenya,First; Winner; Highest quality,Boy
adesh,Command; Message; means instruction in Sanskrit,Boy
adeshwar,God ; Supreme Being; Creator,Boy
adhamb,Straightforward; Lord Shiva; Free from deceit,Boy
adhana,One without Money and worldly desires,Boy
adhara,Lips; signifies softness,Boy
adharmaka,One who is Always Egger to Destroy; Saviour from destruction,Boy
adharsh,Inspiration; Influencer; Divinity personified to inspire Soul; Sun,Boy
adhavan,Brilliant; Man of World; Sun; A variant of name Adavan,Boy
adhavaryu,Prayer; a worship towards God; Hope; Chance,Boy
adheash,Ruler; Chief; Sovereign; Governor,Boy
adheer,Restless; one who never rests,Boy
adheera,Impatient; eagerly desirous; a variant name of Adheer,Boy
adheesh,Ruler; Emperor; King,Boy
adheesha,Ruler; Emperor; King; A variant name of Adheesh,Boy
adhesh,A Command; message; One who brings God's words,Boy
adhideva,Supreme God; Creator of Universe; One of many names of Lord Shiva,Boy
adhik,Greater; Skillful Expert; More than One; Admirable Great Person,Boy
adhikar,Power; Rights; one who has the strength to act,Boy
adhikara,Principal; Controller; One with power and rights; A derivative name of Adhikar,Boy
adhikavi,First Poet; A variant of name Adikavi,Boy
adhiksit,King; Lord; Supreme and Almighty Power; Emperor,Boy
adhila,The Censurer,Boy
adhip,King; Ruler; Supreme and Almighty Power; Emperor,Boy
adhipa,King; Ruler; Supreme and Almighty Power; Emperor,Boy
adhira,"Quick, lightening",Girl
adhiraiyan,Name of Lord Shiva in Tamil,Boy
adhiraj,King; Ruler; Supreme and Almighty Power; Emperor,Boy
adhisankaran,Lord of everything - Shiva; Supreme God,Boy
adhish,Supreme God; Creator of Universe; One of many names of Lord Shiva,Boy
adhishesh,Abundant; Plentiful; Surplus; Adequate; more than self sufficient,Boy
adhishwar,Supreme Power; Creator of Universe; One of many names of Lord Shiva,Boy
